E	N	Z
2622172.58	1256908.26	346.7
2622172.82421053	1256908.25052632	346.692385922547
2622173.06842105	1256908.24105263	346.684799600534
2622173.31263158	1256908.23157895	346.677241165786
2622173.55684211	1256908.22210526	346.669710750125
2622173.80105263	1256908.21263158	346.662208485376
2622174.04526316	1256908.20315789	346.654734503364
2622174.28947368	1256908.19368421	346.647288935912
2622174.53368421	1256908.18421053	346.639871914845
2622174.77789474	1256908.17473684	346.632483571985
2622175.02210526	1256908.16526316	346.625124039159
2622175.26631579	1256908.15578947	346.617793448188
2622175.51052632	1256908.14631579	346.610491930899
2622175.75473684	1256908.13684211	346.603219619114
2622175.99894737	1256908.12736842	346.595976644657
2622176.24315789	1256908.11789474	346.588763139354
2622176.48736842	1256908.10842105	346.581579235027
2622176.73157895	1256908.09894737	346.574425063501
2622176.97578947	1256908.08947368	346.5673007566
2622177.22	1256908.08	346.560206446147
2622177.46421053	1256908.07052632	346.553142263968
2622177.70842105	1256908.06105263	346.546108341886
2622177.95263158	1256908.05157895	346.539104811725
2622178.19684211	1256908.04210526	346.532131805309
2622178.44105263	1256908.03263158	346.525189454463
2622178.68526316	1256908.02315789	346.518277891009
2622178.92947368	1256908.01368421	346.511397246773
2622179.17368421	1256908.00421053	346.504547653579
2622179.41789474	1256907.99473684	346.49772924325
2622179.66210526	1256907.98526316	346.49094214761
2622179.90631579	1256907.97578947	346.484186498484
2622180.15052632	1256907.96631579	346.477462427695
2622180.39473684	1256907.95684211	346.470770067069
2622180.63894737	1256907.94736842	346.464109548428
2622180.88315789	1256907.93789474	346.457481003596
2622181.12736842	1256907.92842105	346.450884564399
2622181.37157895	1256907.91894737	346.444320362659
2622181.61578947	1256907.90947368	346.437788530202
2622181.86	1256907.9	346.43128919885
2622182.10421053	1256907.89052632	346.424822500429
2622182.34842105	1256907.88105263	346.418388566761
2622182.59263158	1256907.87157895	346.411987529672
2622182.83684211	1256907.86210526	346.405619520985
2622183.08105263	1256907.85263158	346.399284672524
2622183.32526316	1256907.84315789	346.392983116114
2622183.56947368	1256907.83368421	346.386714983578
2622183.81368421	1256907.82421053	346.38048040674
2622184.05789474	1256907.81473684	346.374279517425
2622184.30210526	1256907.80526316	346.368112447457
2622184.54631579	1256907.79578947	346.361979328659
2622184.79052632	1256907.78631579	346.355880292856
2622185.03473684	1256907.77684211	346.349815471871
2622185.27894737	1256907.76736842	346.343784997529
2622185.52315789	1256907.75789474	346.337789001655
2622185.76736842	1256907.74842105	346.331827616071
2622186.01157895	1256907.73894737	346.325900972602
2622186.25578947	1256907.72947368	346.320009203071
2622186.5	1256907.72	346.314152439305
2622186.74421053	1256907.71052632	346.308330813125
2622186.98842105	1256907.70105263	346.302544456356
2622187.23263158	1256907.69157895	346.296793500822
2622187.47684211	1256907.68210526	346.291078078348
2622187.72105263	1256907.67263158	346.285398320757
2622187.96526316	1256907.66315789	346.279754359874
2622188.20947368	1256907.65368421	346.274146327522
